                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.5067,                 1.0308,                  1.682,                0.78406,                0.75289,                0.80001,                0.42816,                 1.6173,                0.92223,                 1.7126,               0.003268,               0.003268,               0.003268
                    138,                 1.5128,                 1.0361,                  1.678,                0.77573,                0.75977,                0.80008,                0.42404,                 1.6151,                0.93992,                 1.7153,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.5161,                 1.0242,                 1.6826,                0.78792,                0.73555,                0.80164,                0.42507,                 1.6221,                0.93108,                 1.7227,               0.003169,               0.003169,               0.003169
                    140,                 1.5056,                 1.0295,                 1.6747,                0.77464,                0.74277,                0.79905,                0.42117,                 1.6209,                0.91839,                 1.7155,              0.0031195,              0.0031195,              0.0031195
                    141,                  1.521,                 1.0307,                 1.6779,                0.75055,                0.77393,                0.80311,                0.42517,                  1.613,                0.91076,                 1.7048,                0.00307,                0.00307,                0.00307
                    142,                 1.4963,                 1.0126,                 1.6618,                0.75551,                0.76809,                0.79573,                 0.4264,                 1.6237,                0.92935,                 1.7242,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.5034,                  1.022,                 1.6821,                0.76482,                0.75434,                0.79947,                0.43087,                 1.6097,                 0.9278,                 1.7153,               0.002971,               0.002971,               0.002971
                    144,                 1.5115,                 1.0179,                 1.6774,                0.75646,                0.76156,                0.79385,                0.42546,                 1.6189,                 0.9228,                 1.7243,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.5069,                 1.0223,                 1.6742,                0.76824,                0.76301,                0.79549,                0.43011,                  1.601,                0.93003,                 1.7115,               0.002872,               0.002872,               0.002872
                    146,                 1.4871,                  1.001,                 1.6646,                0.77505,                0.75183,                0.79681,                0.42521,                  1.614,                0.93564,                 1.7259,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.4948,                 1.0145,                 1.6716,                0.79096,                0.74422,                0.79364,                0.42231,                 1.6382,                0.93296,                 1.7408,               0.002773,               0.002773,               0.002773
                    148,                 1.4945,                0.99856,                 1.6622,                0.76342,                0.75289,                0.79157,                0.42577,                 1.6179,                0.93346,                 1.7261,              0.0027235,              0.0027235,              0.0027235
